,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
180,181,St. Vincent Grenadines,"1,503",,6 ,,803,,694,2,"13,520",54
181,182,Saint Martin,"1,497",,12 ,,"1,050",,435,7,"38,296",307
182,183,Papua New Guinea,"1,111",+34,10 ,,846,,255,,123,1
183,184,Taiwan,942,,9 ,,893,,40,,40,0.4
184,185,Bhutan,867,+1,1 ,,862,,4,,"1,116",1
185,187,Bermuda,699,,12 ,,679,,8,3,"11,251",193
186,188,Faeroe Islands,658,,1 ,,655,,2,,"13,433",20
187,189,Antigua and Barbuda,636,+22,14 ,,233,+11,389,40,"6,460",142
188,190,Mauritius,603,,10 ,,556,,37,,474,8
189,191,Cambodia,593,+25, ,,475,,118,,35,
190,192,St. Barth,512,,1 ,,247,,264,,"51,738",101
191,193,Tanzania,509,,21 ,,183,,305,7,8,0.3
192,194,Isle of Man,462,+6,25 ,,409,,28,,"5,415",293
193,195,Cayman Islands,431,,2 ,,403,,26,,"6,509",30
194,196,Caribbean Netherlands,360,,3 ,,244,,113,,"13,647",114
195,197,Brunei ,185,,3 ,,178,,4,,420,7
196,199,Dominica,134,, ,,121,,13,,"1,858",
197,200,British Virgin Islands,114,,1 ,,95,,18,,"3,755",33
198,201,Timor-Leste,107,+4, ,,82,,25,,80,
199,204,Falkland Islands,54,, ,,43,,11,,"15,233",
200,205,Macao,48,, ,,47,+1,1,,73,
201,206,Laos,45,, ,,42,,3,,6,
202,207,Saint Kitts and Nevis,41,, ,,39,,2,,767,
203,209,Vatican City,27,, ,,15,,12,,"33,666",
204,210,Saint Pierre Miquelon,24,, ,,16,,8,,"4,155",
205,211,Montserrat,20,,1 ,,13,,6,,"4,005",200
206,213,Solomon Islands,18,, ,,14,,4,,26,
207,214,Western Sahara,10,,1 ,,8,,1,,16,2
208,216,Wallis and Futuna,9,, ,,6,,3,,810,
209,218,Samoa,3,, ,,2,,1,,15,
210,221,China,"89,852",+10,"4,636 ",,"84,842",+37,374,1,62,3
211,Total:,"112,519,908","+253,153","2,492,311","+7,242","88,079,582","+292,910","21,948,015","92,495","14,435.3",319.7,
